room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6291807,16375951,Entire home/apt,,Jamaica Plain,1,,4,2.0,119.0,14.0,42.29816,-71.11153,2016-05-19 02:58:16.563871
2656568,13597630,Entire home/apt,,Back Bay,0,,2,1.0,600.0,1.0,42.348072,-71.076639,2016-05-19 02:58:06.015822
10723203,15913699,Private room,,Allston,2,,2,1.0,96.0,1.0,42.350588,-71.129477,2016-05-19 02:57:39.074104
10034592,20399668,Private room,,Dorchester,13,5.0,2,1.0,55.0,1.0,42.317168,-71.040483,2016-05-19 02:57:28.669274
5454513,4962900,Entire home/apt,,Back Bay,13,4.5,5,2.0,276.0,,42.346598,-71.080123,2016-05-19 02:56:56.182103
335730,290698,Private room,,East Boston,34,3.5,9,1.0,70.0,1.0,42.39001,-70.996161,2016-05-19 02:56:44.188597
7635616,22348222,Entire home/apt,,Beacon Hill,3,5.0,2,0.0,155.0,7.0,42.359601,-71.063908,2016-05-19 02:56:18.932562
12808014,28197086,Private room,,Allston,0,,1,1.0,65.0,1.0,42.351883,-71.130772,2016-05-19 02:56:12.350833
6793913,30283594,Entire home/apt,,Fenway,2,,5,2.0,571.0,3.0,42.343305,-71.101489,2016-05-19 02:55:56.997256
586994,2894162,Entire home/apt,,Beacon Hill,47,4.5,2,1.0,160.0,4.0,42.358926,-71.063109,2016-05-19 02:54:56.750137
1373520,1220808,Private room,,Mission Hill,53,4.5,2,1.0,125.0,1.0,42.327459,-71.099318,2016-05-19 02:54:49.493975
4369766,6846812,Private room,,Back Bay,62,5.0,2,1.0,170.0,2.0,42.345938,-71.086337,2016-05-19 02:54:28.626569
9992532,30283594,Entire home/apt,,Back Bay,0,,5,2.0,571.0,3.0,42.34671,-71.077707,2016-05-19 02:54:25.223723
1187188,2238969,Entire home/apt,,Jamaica Plain,17,5.0,4,2.0,240.0,3.0,42.306928,-71.107894,2016-05-19 02:54:16.866257
5824015,30228015,Private room,,Allston,0,,2,1.0,50.0,1.0,42.35325,-71.129579,2016-05-19 02:54:09.371068
9992751,30283594,Entire home/apt,,Back Bay,0,,5,2.0,199.0,3.0,42.346439,-71.079199,2016-05-19 02:54:00.196420
9362821,48584100,Private room,,Roxbury,27,4.5,2,1.0,83.0,1.0,42.337771,-71.080901,2016-05-19 02:53:51.270428
213086,886871,Private room,,Dorchester,16,4.5,1,1.0,70.0,2.0,42.317216,-71.055244,2016-05-19 02:53:47.539907
8388481,26956083,Private room,,Brighton,3,5.0,2,1.0,89.0,2.0,42.358573,-71.140601,2016-05-19 02:53:16.308042
95453,508268,Entire home/apt,,Allston,9,5.0,2,0.0,175.0,5.0,42.359372,-71.13156,2016-05-19 02:53:07.326036
3060038,15575274,Private room,,Brighton,17,4.5,1,1.0,67.0,1.0,42.347369,-71.138246,2016-05-19 02:51:30.078699
6551454,29224952,Entire home/apt,,Brighton,0,,2,3.0,150.0,3.0,42.339393,-71.146918,2016-05-19 02:51:24.530602
7602994,30988954,Private room,,Allston,5,5.0,1,1.0,25.0,7.0,42.35288,-71.125119,2016-05-19 02:51:01.496987
6728819,2847302,Private room,,Fenway,5,4.0,2,1.0,95.0,1.0,42.339501,-71.092941,2016-05-19 02:50:17.462948
9118262,21184200,Entire home/apt,,Back Bay,19,4.5,14,3.0,280.0,1.0,42.34996,-71.087649,2016-05-19 02:49:57.823849
8539551,1551509,Private room,,Mission Hill,23,4.5,1,1.0,89.0,1.0,42.331966,-71.103274,2016-05-19 02:49:53.564456
13007354,20696611,Private room,,Allston,0,,1,1.0,50.0,1.0,42.355492,-71.129394,2016-05-19 02:48:13.748926
7330494,38403389,Entire home/apt,,South Boston,54,5.0,2,1.0,180.0,,42.330625,-71.05558,2016-05-19 02:47:51.235402
