location,Expense,Hour,Month,Year,lon,lat
세븐일레븐탑골공원점,300,8,8,17,126.9894683,37.5709789
모닝글로리,800,15,1,18,127.0246608,37.5858446
씨유새절역점,850,18,3,17,126.913614,37.5920305
미니스톱고대타이거점,1000,12,7,17,127.0210759,37.5859221
미니스톱은평신성점,1200,8,1,18,126.9225846,37.6190274
미니스톱은평신성점,1200,0,7,17,126.9225846,37.6190274
미니스톱은평신성점,1200,23,7,17,126.9225846,37.6190274
미니스톱은평신성점,1200,22,8,17,126.9225846,37.6190274
파리바게뜨새절,1200,17,12,17,126.9133395,37.5910776
모닝글로리,1440,18,12,17,127.0246608,37.5858446
인터라켄피씨,1500,22,9,17,126.9102098,37.5846127
인터라켄피씨,1500,17,11,17,126.9102098,37.5846127
모닝글로리,1600,18,12,17,127.0246608,37.5858446
미니스톱은평신성점,1650,0,7,17,126.9225846,37.6190274
GS25고대타운,1700,22,10,17,127.0298528,37.5853112
미니스톱은평신성점,1750,0,6,17,126.9225846,37.6190274
메가커피 고대점,1800,17,3,17,127.029698,37.586956
미니스톱고대타이거점,1800,18,3,17,127.0210759,37.5859221
아리카페,1800,15,10,17,127.0311582,37.5866444
GS25고대안암점,1900,13,6,17,127.0294639,37.5869499
미니스톱은평신성점,2000,13,2,18,126.9225846,37.6190274
미니스톱은평신성점,2000,0,3,17,126.9225846,37.6190274
미니스톱은평신성점,2000,21,4,17,126.9225846,37.6190274
미니스톱은평신성점,2000,0,6,17,126.9225846,37.6190274
미니스톱은평신성점,2000,0,6,17,126.9225846,37.6190274
미니스톱은평신성점,2000,1,6,17,126.9225846,37.6190274
인터라켄피씨,2000,20,9,17,126.9102098,37.5846127
미니스톱은평신성점,2000,23,10,17,126.9225846,37.6190274
인터라켄PC,2000,17,11,17,126.9102098,37.5846127
인터라켄피씨,2000,15,11,17,126.9102098,37.5846127
인터라켄피씨,2000,0,12,17,126.9102098,37.5846127
모닝글로리,2400,20,6,17,127.0246608,37.5858446
고른햇살,2500,11,6,17,127.0291028,37.5874776
고른햇살,2500,13,6,17,127.0291028,37.5874776
인터라켄피씨,2500,18,9,17,126.9102098,37.5846127
인터라켄피씨,2500,14,9,17,126.9102098,37.5846127
아리카페,2500,13,11,17,127.0311582,37.5866444
아리카페,2500,9,11,17,127.0311582,37.5866444
아리카페,2500,13,11,17,127.0311582,37.5866444
아리카페,2500,9,11,17,127.0311582,37.5866444
아리카페,2500,13,11,17,127.0311582,37.5866444
아리카페,2500,10,11,17,127.0311582,37.5866444
아리카페,2500,12,11,17,127.0311582,37.5866444
아리카페,2500,10,11,17,127.0311582,37.5866444
아리카페,2500,9,12,17,127.0311582,37.5866444
아리카페,2500,8,12,17,127.0311582,37.5866444
씨앤엔카페 고려대,2600,17,3,17,127.0268837,37.5870127
미니스톱은평신성점,2700,23,8,17,126.9225846,37.6190274
미니스톱은평신성점,2700,19,8,17,126.9225846,37.6190274
미니스톱은평신성점,2700,20,8,17,126.9225846,37.6190274
파리바게뜨새절,2800,18,7,17,126.9133395,37.5910776
타이거pc,3000,19,5,17,127.0295,37.58682
씨유응암와산교점,3000,1,10,17,126.9140585,37.588531
홀리더카페세나클,3000,15,12,17,126.9134142,37.5915288
파리바게뜨새절,3100,22,1,18,126.9133395,37.5910776
미니스톱은평신성점,3150,2,6,17,126.9225846,37.6190274
모닝글로리,3200,18,4,17,127.0246608,37.5858446
모닝글로리,3200,14,6,17,127.0246608,37.5858446
미니스톱은평신성점,3200,19,7,17,126.9225846,37.6190274
모닝글로리,3200,17,8,17,127.0246608,37.5858446
봉구스밥버거,3300,14,12,17,127.0306827,37.5864709
미니스톱은평신성점,3400,20,3,17,126.9225846,37.6190274
인터라켄피씨,3500,23,1,18,126.9102098,37.5846127
파리바게뜨새절,3500,21,4,17,126.9133395,37.5910776
파리바게뜨새절,3500,22,5,17,126.9133395,37.5910776
고른햇살,3500,17,7,17,127.0291028,37.5874776
파리바게뜨새절,3600,16,1,18,126.9133395,37.5910776
파리바게뜨새절,3600,13,8,17,126.9133395,37.5910776
파리바게뜨새절,3700,22,1,18,126.9133395,37.5910776
이디야탑골공원점,3800,8,8,17,126.989189,37.5709747
수유리우동집,4000,6,1,18,127.0167778,37.5919552
원조닭한마리,4000,12,5,17,127.0294393,37.5874437
미니스톱은평신성점,4100,21,12,17,126.9225846,37.6190274
파리바게뜨새절,4200,16,6,17,126.9133395,37.5910776
홍콩반점0410,4500,11,6,17,127.029714,37.5851446
인터라켄피씨,4500,20,11,17,126.9102098,37.5846127
탐앤탐스커피,4600,10,3,17,126.900869,37.5783739
고른햇살,5000,15,3,17,127.0291028,37.5874776
탐앤탐스신촌로터리점,5000,18,5,17,126.9379918,37.5556913
인터라켄피씨,5000,19,9,17,126.9102098,37.5846127
인터라켄피씨,5000,22,9,17,126.9102098,37.5846127
인터라켄피씨,5000,18,9,17,126.9102098,37.5846127
인터라켄피씨,5000,19,9,17,126.9102098,37.5846127
미니스톱은평신성점,5000,22,11,17,126.9225846,37.6190274
인터라켄피씨,5000,20,11,17,126.9102098,37.5846127
인터라켄피씨,5000,15,11,17,126.9102098,37.5846127
탐앤탐스커피,5000,18,11,17,126.900869,37.5783739
수유리우동집,5000,11,12,17,127.0167778,37.5919552
파리바게뜨새절,5150,22,3,17,126.9133395,37.5910776
파리바게뜨새절,5200,17,4,17,126.9133395,37.5910776
파리바게뜨새절,5200,21,11,17,126.9133395,37.5910776
